id,value,rating,freq,city,state,stars
Tuk Tuk Indian Street Food,1,4,1,Edinburgh,EDH,4.0
Al Hamra,5,3,5,Scottsdale,AZ,3.5
India Masala,1,3,1,Las Vegas,NV,4.0
Taj Mahal Indian Cuisine,224,4,14,Tempe,AZ,3.5
Curry Garden,2,4,2,Gilbert,AZ,4.0
Maharani Restaurant,4,3,4,Madison,WI,3.5
Cafe Krishna,1,4,1,Chandler,AZ,3.5
Namaste Indian Cuisine,72,3,8,Las Vegas,NV,4.0
Tadka Sizzles,1,3,1,Phoenix,AZ,3.0
Mother India's Cafe,1,4,1,Edinburgh,EDH,4.0
Guru Balti Restaurant,1,5,1,Edinburgh,EDH,4.5
Chennai Chettinaad Palace,2,3,2,Phoenix,AZ,3.5
India Masala Bar & Grill,5,3,5,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,1,3,1,Las Vegas,NV,2.5
Haweli Indian Grill & Bar,4,4,4,Scottsdale,AZ,3.5
Dhaba Indian Bistro,4,5,4,Middleton,WI,4.0
Indian Curry Bowl,3,2,3,Las Vegas,NV,3.0
Kabab Palace,1,2,1,Tempe,AZ,3.5
Tandoori Times 3 Indian Bistro,144,4,9,Phoenix,AZ,4.0
Copper Kettle,1,5,1,Chandler,AZ,3.0
Tikka Mahal,1,5,1,Edinburgh,EDH,4.0
Pyaar India Restaurant,1,4,1,Las Vegas,NV,3.0
India Oven,528,4,33,Mesa,AZ,4.5
Jewel of the Crown,5,3,5,Scottsdale,AZ,4.0
Tandoori Village,1,4,1,Phoenix,AZ,3.5
Pataka Restaurant,1,4,1,Edinburgh,EDH,4.5
Britannia Spice,2,3,2,Edinburgh,EDH,3.5
Maharaja Restaurant E Pt Plaza,2,2,2,Madison,WI,4.0
Gaylord India Restaurant,1,5,1,Las Vegas,NV,3.5
Taj Indian Restaurant,2,3,2,Madison,WI,4.0
Tandoori Times Indian Bistro,72,3,8,Scottsdale,AZ,3.5
Zaidi's Grill,1,5,1,Scottsdale,AZ,3.5
Minerva Indian Cuisine,3,4,3,Madison,WI,4.0
Mayuri Palace,3,2,3,Phoenix,AZ,3.5
Kohinoor Cuisine of India,3,3,3,Tempe,AZ,3.5
Kabob n Kurry,3,4,3,Gilbert,AZ,3.5
