id,value,rating,freq,city,state,stars
Tuk Tuk Indian Street Food,2,3,2,Edinburgh,EDH,4.0
Al Hamra,72,3,8,Scottsdale,AZ,3.5
India Masala,81,3,9,Las Vegas,NV,4.0
Taj Express,1,4,1,Edinburgh,EDH,4.5
Taj Mahal Indian Cuisine,368,4,23,Tempe,AZ,3.5
Curry Garden,4,3,4,Gilbert,AZ,4.0
Udupi Indian Veg & Vegan Cuisine,1,1,1,Tempe,AZ,4.0
Maharani Restaurant,160,4,10,Madison,WI,3.5
Cafe Krishna,2,4,2,Chandler,AZ,3.5
Namaste Indian Cuisine,135,3,15,Las Vegas,NV,4.0
Tadka Sizzles,3,2,3,Phoenix,AZ,3.0
Kebabish Original,1,3,1,Edinburgh,MLN,3.5
Shamoli Thai & Indian Cuisine,1,3,1,Edinburgh,EDH,2.5
Mother India's Cafe,2,4,2,Edinburgh,EDH,4.0
Maharaja Restaurant,128,4,8,Madison,WI,4.0
Guru Balti Restaurant,1,5,1,Edinburgh,EDH,4.5
Curry in the Box,1,4,1,Fitchburg,WI,3.5
Chennai Chettinaad Palace,54,3,6,Phoenix,AZ,3.5
India Masala Bar & Grill,252,3,28,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,63,3,7,Las Vegas,NV,2.5
Haweli Indian Grill & Bar,96,4,6,Scottsdale,AZ,3.5
Copper Kettle-Salads Balti & Taandoori Grill,1,3,1,Tempe,AZ,3.0
Dhaba Indian Bistro,176,4,11,Middleton,WI,4.0
Indian Curry Bowl,28,2,7,Las Vegas,NV,3.0
Shezan Indian Cuisine,1,4,1,Edinburgh,EDH,4.0
Kabab Palace,81,3,9,Tempe,AZ,3.5
Red Fort,1,2,1,Edinburgh,EDH,4.0
Tandoori Times 3 Indian Bistro,272,4,17,Phoenix,AZ,4.0
Priya Indian Cuisine,2,4,2,Tempe,AZ,3.0
Copper Kettle,5,4,5,Chandler,AZ,3.0
Tikka Mahal,2,5,2,Edinburgh,EDH,4.0
Pyaar India Restaurant,4,3,4,Las Vegas,NV,3.0
Taza Indian Kitchen,3,3,3,Las Vegas,NV,3.0
India Oven,1856,4,116,Mesa,AZ,4.5
Jewel of the Crown,99,3,11,Scottsdale,AZ,4.0
Tandoori Village,2,2,2,Phoenix,AZ,3.5
Namaste Kathmandu,1,3,1,Edinburgh,EDH,3.5
Pataka Restaurant,1,4,1,Edinburgh,EDH,4.5
Britannia Spice,2,3,2,Edinburgh,EDH,3.5
Maharaja Restaurant E Pt Plaza,72,3,8,Madison,WI,4.0
India's Grill,2,4,2,Las Vegas,NV,3.0
Gaylord India Restaurant,4,3,4,Las Vegas,NV,3.5
Noor Indian Takeaway,1,5,1,Edinburgh,EDH,4.5
Rani's World Foods,1,3,1,Las Vegas,NV,4.5
Aachi Southindian Kitchen,1,5,1,Tempe,AZ,4.0
Taj Indian Restaurant,63,3,7,Madison,WI,4.0
Tandoori Times Indian Bistro,234,3,26,Scottsdale,AZ,3.5
Zaidi's Grill,2,4,2,Scottsdale,AZ,3.5
Minerva Indian Cuisine,112,4,7,Madison,WI,4.0
Mayuri Palace,72,3,8,Phoenix,AZ,3.5
Khushi's,1,4,1,Edinburgh,EDH,3.5
Kohinoor Cuisine of India,126,3,14,Tempe,AZ,3.5
Kabob n Kurry,99,3,11,Gilbert,AZ,3.5
Imans,1,4,1,Edinburgh,EDH,4.5
The Prince of India,1,4,1,Edinburgh,EDH,3.5
Saffron Flavors of India,736,4,46,Las Vegas,NV,4.0
Tanjore,2,4,2,Edinburgh,EDH,4.0
Bindi,1,3,1,Edinburgh,MLN,4.5
Mirch Masala,1,4,1,Madison,WI,3.5
Indian Maharaja Palace,126,3,14,Glendale,AZ,3.0
Guru Palace,288,3,32,Mesa,AZ,4.0
Saffron,28,2,7,Las Vegas,NV,2.0
Pasand,54,3,6,Tempe,AZ,3.0
Khyber Halal,144,4,9,Phoenix,AZ,4.0
Flavor of India,112,4,7,Madison,WI,4.0
India Grill,192,4,12,Tempe,AZ,4.0
Haveli Restaurant,2,3,2,Fitchburg,WI,4.0
Hurry 4 Curry,4,3,4,Phoenix,AZ,3.0
