id,value,rating,freq,city,state,stars
Tuk Tuk Indian Street Food,1,4,1,Edinburgh,EDH,4.0
Al Hamra,72,3,8,Scottsdale,AZ,3.5
India Masala,5,4,5,Las Vegas,NV,4.0
Taj Express,1,4,1,Edinburgh,EDH,4.5
Taj Mahal Indian Cuisine,352,4,22,Tempe,AZ,3.5
Curry Garden,4,3,4,Gilbert,AZ,4.0
Maharani Restaurant,144,4,9,Madison,WI,3.5
Cafe Krishna,1,4,1,Chandler,AZ,3.5
Namaste Indian Cuisine,99,3,11,Las Vegas,NV,4.0
Tadka Sizzles,2,2,2,Phoenix,AZ,3.0
Kebabish Original,1,3,1,Edinburgh,MLN,3.5
Shamoli Thai & Indian Cuisine,1,3,1,Edinburgh,EDH,2.5
Mother India's Cafe,2,4,2,Edinburgh,EDH,4.0
Maharaja Restaurant,96,4,6,Madison,WI,4.0
Guru Balti Restaurant,1,5,1,Edinburgh,EDH,4.5
Curry in the Box,1,4,1,Fitchburg,WI,3.5
Chennai Chettinaad Palace,54,3,6,Phoenix,AZ,3.5
India Masala Bar & Grill,180,3,20,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,5,3,5,Las Vegas,NV,2.5
Haweli Indian Grill & Bar,5,4,5,Scottsdale,AZ,3.5
Copper Kettle-Salads Balti & Taandoori Grill,1,3,1,Tempe,AZ,3.0
Dhaba Indian Bistro,160,4,10,Middleton,WI,4.0
Indian Curry Bowl,5,1,5,Las Vegas,NV,3.0
Shezan Indian Cuisine,1,4,1,Edinburgh,EDH,4.0
Kabab Palace,81,3,9,Tempe,AZ,3.5
Red Fort,1,2,1,Edinburgh,EDH,4.0
Tandoori Times 3 Indian Bistro,256,4,16,Phoenix,AZ,4.0
Priya Indian Cuisine,2,4,2,Tempe,AZ,3.0
Copper Kettle,5,4,5,Chandler,AZ,3.0
Tikka Mahal,1,5,1,Edinburgh,EDH,4.0
Pyaar India Restaurant,3,2,3,Las Vegas,NV,3.0
Taza Indian Kitchen,2,3,2,Las Vegas,NV,3.0
India Oven,1232,4,77,Mesa,AZ,4.5
Jewel of the Crown,81,3,9,Scottsdale,AZ,4.0
Tandoori Village,2,2,2,Phoenix,AZ,3.5
Pataka Restaurant,1,4,1,Edinburgh,EDH,4.5
Britannia Spice,2,3,2,Edinburgh,EDH,3.5
Maharaja Restaurant E Pt Plaza,72,3,8,Madison,WI,4.0
India's Grill,2,4,2,Las Vegas,NV,3.0
Gaylord India Restaurant,4,3,4,Las Vegas,NV,3.5
Noor Indian Takeaway,1,5,1,Edinburgh,EDH,4.5
Aachi Southindian Kitchen,1,5,1,Tempe,AZ,4.0
Taj Indian Restaurant,54,3,6,Madison,WI,4.0
Tandoori Times Indian Bistro,207,3,23,Scottsdale,AZ,3.5
Zaidi's Grill,2,4,2,Scottsdale,AZ,3.5
Minerva Indian Cuisine,96,4,6,Madison,WI,4.0
Mayuri Palace,63,3,7,Phoenix,AZ,3.5
Khushi's,1,4,1,Edinburgh,EDH,3.5
Kohinoor Cuisine of India,63,3,7,Tempe,AZ,3.5
Kabob n Kurry,63,3,7,Gilbert,AZ,3.5
Imans,1,4,1,Edinburgh,EDH,4.5
The Prince of India,1,4,1,Edinburgh,EDH,3.5
Saffron Flavors of India,704,4,44,Las Vegas,NV,4.0
Tanjore,1,4,1,Edinburgh,EDH,4.0
Mirch Masala,1,4,1,Madison,WI,3.5
Indian Maharaja Palace,117,3,13,Glendale,AZ,3.0
Guru Palace,270,3,30,Mesa,AZ,4.0
Saffron,28,2,7,Las Vegas,NV,2.0
Pasand,4,3,4,Tempe,AZ,3.0
Khyber Halal,144,4,9,Phoenix,AZ,4.0
Flavor of India,5,4,5,Madison,WI,4.0
India Grill,192,4,12,Tempe,AZ,4.0
Haveli Restaurant,2,3,2,Fitchburg,WI,4.0
Hurry 4 Curry,3,3,3,Phoenix,AZ,3.0
New India Bazaar,54,3,6,Phoenix,AZ,3.5
Fusion,2,5,2,Cambridge,ON,4.5
Omar Khayyam,1,4,1,Edinburgh,EDH,4.0
Delhi Indian Cuisine,352,4,22,Las Vegas,NV,4.5
Bay Leaf Cafe,36,2,9,Chandler,AZ,3.5
Delhi Palace Cuisine of India,207,3,23,Tempe,AZ,3.5
Masala Bay Fine Indian Dining,1,4,1,Waterloo,ON,3.5
Madras Ananda Bhavan,54,3,6,Phoenix,AZ,4.0
India Palace,639,3,71,Las Vegas,NV,4.0
Taste of India,3,4,3,Madison,WI,4.0
Bawarchi Indian Cuisine,72,3,8,Phoenix,AZ,3.5
The Mosque Kitchen,3,4,3,Edinburgh,EDH,4.0
Star of India,384,4,24,Phoenix,AZ,4.0
Karaikudi Palace,4,4,4,Scottsdale,AZ,3.5
Mint Indian Bistro,1312,4,82,Las Vegas,NV,4.0
India Oven,63,3,7,Las Vegas,NV,3.5
Kismot,4,4,4,Edinburgh,EDH,4.5
Pak Afghan Halal Restaurant & Catering,2,5,2,Phoenix,AZ,4.0
Indian Paradise,1,4,1,Phoenix,AZ,3.0
Nandini Indian Cuisine,3,4,3,Tempe,AZ,5.0
Love India,1,4,1,Edinburgh,EDH,4.0
Origin India Restaurant & Bar,189,3,21,Las Vegas,NV,3.5
10-to-10 In Delhi,1,5,1,Edinburgh,EDH,4.5
Swagat India,112,4,7,Madison,WI,4.0
Indus Village,4,4,4,Chandler,AZ,4.0
India Gate,5,3,5,Chandler,AZ,3.5
Tandoori Times 2 Indian Bistro,336,4,21,Glendale,AZ,3.5
India Garden,176,4,11,Avondale,AZ,4.0
Royal Taj,528,4,33,Tempe,AZ,3.5
Indian Delhi Palace,252,3,28,Phoenix,AZ,3.5
Lancers Brasserie,1,5,1,Edinburgh,EDH,4.0
Taj Palace,432,3,48,Henderson,NV,4.0
Voujon,1,3,1,Edinburgh,EDH,4.0
Swad,2,4,2,Monona,WI,4.0
Mount Everest India's Cuisine,1248,4,78,Las Vegas,NV,4.5
Kebab Mahal,4,4,4,Edinburgh,EDH,4.5
New Saffrani,1,4,1,Edinburgh,EDH,4.0
NASHA Indian Cuisine,1,2,1,Chandler,AZ,3.5
Gandhi India's Cuisine,40,2,10,Las Vegas,NV,3.5
Kabob N More,1,1,1,Las Vegas,NV,3.0
India Palace,198,3,22,Phoenix,AZ,3.5
Tamba Indian Cuisine & Lounge,153,3,17,Las Vegas,NV,3.5
Samosa Factory,279,3,31,Las Vegas,NV,4.0
India's Grill,63,3,7,Mesa,AZ,4.0
Passage To India,108,3,12,Tempe,AZ,4.0
Bombay Spice Grill,108,3,12,Phoenix,AZ,3.5
Indian Paradise,1,3,1,Chandler,AZ,4.5
Chutney's Indian Cuisine,72,3,8,Tempe,AZ,4.0
Shalimar Restaurant,99,3,11,Las Vegas,NV,3.5
Vinyasa,1,4,1,Edinburgh,EDH,4.0
Curry Corner,333,3,37,Tempe,AZ,3.5
Taste of India,4,2,4,Phoenix,AZ,2.0
Sutra Fine Indian Cuisine,5,4,5,Goodyear,AZ,3.5
OM Restaurant,4,4,4,Las Vegas,NV,4.0
Flavors of India,135,3,15,Phoenix,AZ,3.5
India Gate,72,3,8,Gilbert,AZ,3.5
Mantra Masala,117,3,13,Las Vegas,NV,3.5
Indian Paradise 2,5,4,5,Phoenix,AZ,3.5
The Dhaba,768,4,48,Tempe,AZ,4.0
Copper Kettle-Salads Balti & Taandoori Grill,4,4,4,Mesa,AZ,3.5
Southern Spice,81,3,9,Tempe,AZ,3.5
Sai India Curry,4,3,4,Las Vegas,NV,3.0
Curry Leaf Indian Grill,1,2,1,Phoenix,AZ,3.0
Indian Paradise,279,3,31,Scottsdale,AZ,4.0
Royal India Bistro,3,3,3,Las Vegas,NV,3.5
Kalpna Restaurant,1,4,1,Edinburgh,EDH,4.0
