id,value,rating,freq,city,state,stars
Tuk Tuk Indian Street Food,2,3,2,Edinburgh,EDH,4.0
Al Hamra,117,3,13,Scottsdale,AZ,3.5
India Masala,81,3,9,Las Vegas,NV,4.0
Taj Express,1,4,1,Edinburgh,EDH,4.5
Taj Mahal Indian Cuisine,384,4,24,Tempe,AZ,3.5
Curry Garden,4,3,4,Gilbert,AZ,4.0
Udupi Indian Veg & Vegan Cuisine,2,2,2,Tempe,AZ,4.0
Maharani Restaurant,176,4,11,Madison,WI,3.5
Cafe Krishna,2,4,2,Chandler,AZ,3.5
Namaste Indian Cuisine,304,4,19,Las Vegas,NV,4.0
Tadka Sizzles,3,2,3,Phoenix,AZ,3.0
Kebabish Original,2,4,2,Edinburgh,MLN,3.5
Shamoli Thai & Indian Cuisine,1,3,1,Edinburgh,EDH,2.5
Mother India's Cafe,2,4,2,Edinburgh,EDH,4.0
Maharaja Restaurant,176,4,11,Madison,WI,4.0
Guru Balti Restaurant,1,5,1,Edinburgh,EDH,4.5
Curry in the Box,1,4,1,Fitchburg,WI,3.5
Chennai Chettinaad Palace,72,3,8,Phoenix,AZ,3.5
India Masala Bar & Grill,252,3,28,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,72,3,8,Las Vegas,NV,2.5
Haweli Indian Grill & Bar,96,4,6,Scottsdale,AZ,3.5
Copper Kettle-Salads Balti & Taandoori Grill,1,3,1,Tempe,AZ,3.0
Dhaba Indian Bistro,224,4,14,Middleton,WI,4.0
Indian Curry Bowl,32,2,8,Las Vegas,NV,3.0
Shezan Indian Cuisine,1,4,1,Edinburgh,EDH,4.0
Kabab Palace,90,3,10,Tempe,AZ,3.5
Red Fort,1,2,1,Edinburgh,EDH,4.0
Tandoori Times 3 Indian Bistro,288,4,18,Phoenix,AZ,4.0
Priya Indian Cuisine,2,4,2,Tempe,AZ,3.0
Copper Kettle,5,4,5,Chandler,AZ,3.0
Tikka Mahal,2,5,2,Edinburgh,EDH,4.0
Pyaar India Restaurant,5,3,5,Las Vegas,NV,3.0
Taza Indian Kitchen,3,3,3,Las Vegas,NV,3.0
India Oven,2080,4,130,Mesa,AZ,4.5
Jewel of the Crown,108,3,12,Scottsdale,AZ,4.0
Tandoori Village,2,2,2,Phoenix,AZ,3.5
Namaste Kathmandu,1,3,1,Edinburgh,EDH,3.5
Pataka Restaurant,1,4,1,Edinburgh,EDH,4.5
Britannia Spice,2,3,2,Edinburgh,EDH,3.5
Maharaja Restaurant E Pt Plaza,72,3,8,Madison,WI,4.0
India's Grill,2,4,2,Las Vegas,NV,3.0
Gaylord India Restaurant,5,2,5,Las Vegas,NV,3.5
Noor Indian Takeaway,1,5,1,Edinburgh,EDH,4.5
Rani's World Foods,2,3,2,Las Vegas,NV,4.5
Aachi Southindian Kitchen,1,5,1,Tempe,AZ,4.0
Taj Indian Restaurant,63,3,7,Madison,WI,4.0
Tandoori Times Indian Bistro,252,3,28,Scottsdale,AZ,3.5
Zaidi's Grill,2,4,2,Scottsdale,AZ,3.5
Minerva Indian Cuisine,112,4,7,Madison,WI,4.0
Mayuri Palace,81,3,9,Phoenix,AZ,3.5
Khushi's,1,4,1,Edinburgh,EDH,3.5
Kohinoor Cuisine of India,126,3,14,Tempe,AZ,3.5
Kabob n Kurry,99,3,11,Gilbert,AZ,3.5
Imans,1,4,1,Edinburgh,EDH,4.5
The Prince of India,1,4,1,Edinburgh,EDH,3.5
Saffron Flavors of India,784,4,49,Las Vegas,NV,4.0
Tanjore,2,4,2,Edinburgh,EDH,4.0
Bindi,1,3,1,Edinburgh,MLN,4.5
Mirch Masala,1,4,1,Madison,WI,3.5
Indian Maharaja Palace,126,3,14,Glendale,AZ,3.0
Guru Palace,297,3,33,Mesa,AZ,4.0
Saffron,28,2,7,Las Vegas,NV,2.0
Pasand,54,3,6,Tempe,AZ,3.0
Khyber Halal,144,4,9,Phoenix,AZ,4.0
Flavor of India,112,4,7,Madison,WI,4.0
India Grill,208,4,13,Tempe,AZ,4.0
Haveli Restaurant,2,3,2,Fitchburg,WI,4.0
Hurry 4 Curry,4,3,4,Phoenix,AZ,3.0
New India Bazaar,54,3,6,Phoenix,AZ,3.5
Fusion,2,5,2,Cambridge,ON,4.5
Omar Khayyam,2,4,2,Edinburgh,EDH,4.0
Delhi Indian Cuisine,480,4,30,Las Vegas,NV,4.5
Bay Leaf Cafe,48,2,12,Chandler,AZ,3.5
Delhi Palace Cuisine of India,261,3,29,Tempe,AZ,3.5
Masala Bay Fine Indian Dining,2,2,2,Waterloo,ON,3.5
Madras Ananda Bhavan,160,4,10,Phoenix,AZ,4.0
India Palace,918,3,102,Las Vegas,NV,4.0
Taste of India,3,4,3,Madison,WI,4.0
Bawarchi Indian Cuisine,81,3,9,Phoenix,AZ,3.5
The Mosque Kitchen,3,4,3,Edinburgh,EDH,4.0
Star of India,464,4,29,Phoenix,AZ,4.0
Woodlands Vegetarian South Indian Kitchen,3,4,3,Chandler,AZ,4.0
Karaikudi Palace,112,4,7,Scottsdale,AZ,3.5
Mint Indian Bistro,1760,4,110,Las Vegas,NV,4.0
Bombay Bicycle Club,1,2,1,Edinburgh,EDH,3.5
India Oven,192,4,12,Las Vegas,NV,3.5
Kismot,54,3,6,Edinburgh,EDH,4.5
Pak Afghan Halal Restaurant & Catering,2,5,2,Phoenix,AZ,4.0
Indian Paradise,1,4,1,Phoenix,AZ,3.0
Nandini Indian Cuisine,3,4,3,Tempe,AZ,5.0
Love India,1,4,1,Edinburgh,EDH,4.0
Origin India Restaurant & Bar,288,3,32,Las Vegas,NV,3.5
10-to-10 In Delhi,1,5,1,Edinburgh,EDH,4.5
Swagat India,160,4,10,Madison,WI,4.0
Indus Village,4,4,4,Chandler,AZ,4.0
India Gate,54,3,6,Chandler,AZ,3.5
Tandoori Times 2 Indian Bistro,464,4,29,Glendale,AZ,3.5
India Garden,192,4,12,Avondale,AZ,4.0
Royal Taj,640,4,40,Tempe,AZ,3.5
Indian Delhi Palace,288,3,32,Phoenix,AZ,3.5
Lancers Brasserie,1,5,1,Edinburgh,EDH,4.0
Aromas at Island Restaurant,1,4,1,Gilbert,AZ,3.5
Taj Palace,912,4,57,Henderson,NV,4.0
Voujon,1,3,1,Edinburgh,EDH,4.0
Swad,2,4,2,Monona,WI,4.0
Mount Everest India's Cuisine,1488,4,93,Las Vegas,NV,4.5
