id,value,rating,freq,city,state,stars
Al Hamra,2,4,2,Scottsdale,AZ,3.5
India Masala,2,4,2,Las Vegas,NV,4.0
Taj Mahal Indian Cuisine,5,4,5,Tempe,AZ,3.5
Shezan Indian Cuisine,1,4,1,Edinburgh,EDH,4.0
Maharani Restaurant,2,4,2,Madison,WI,3.5
Namaste Indian Cuisine,1,4,1,Las Vegas,NV,4.0
Tadka Sizzles,1,2,1,Phoenix,AZ,3.0
Shamoli Thai & Indian Cuisine,1,3,1,Edinburgh,EDH,2.5
Mother India's Cafe,1,5,1,Edinburgh,EDH,4.0
Maharaja Restaurant,3,4,3,Madison,WI,4.0
Curry in the Box,1,4,1,Fitchburg,WI,3.5
Chennai Chettinaad Palace,4,3,4,Phoenix,AZ,3.5
India Masala Bar & Grill,81,3,9,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,2,3,2,Las Vegas,NV,2.5
Copper Kettle-Salads Balti & Taandoori Grill,1,3,1,Tempe,AZ,3.0
Dhaba Indian Bistro,96,4,6,Middleton,WI,4.0
Sutra Fine Indian Cuisine,1,4,1,Goodyear,AZ,3.5
Indian Curry Bowl,1,2,1,Las Vegas,NV,3.0
Curry Garden,1,3,1,Gilbert,AZ,4.0
Kabab Palace,3,4,3,Tempe,AZ,3.5
Tandoori Times 3 Indian Bistro,112,4,7,Phoenix,AZ,4.0
Copper Kettle,4,4,4,Chandler,AZ,3.0
India Oven,192,4,12,Mesa,AZ,4.5
Jewel of the Crown,4,2,4,Scottsdale,AZ,4.0
Tandoori Village,1,1,1,Phoenix,AZ,3.5
Maharaja Restaurant E Pt Plaza,3,4,3,Madison,WI,4.0
India's Grill,1,4,1,Las Vegas,NV,3.0
Gaylord India Restaurant,3,2,3,Las Vegas,NV,3.5
Aachi Southindian Kitchen,1,5,1,Tempe,AZ,4.0
Taj Indian Restaurant,4,4,4,Madison,WI,4.0
Tandoori Times Indian Bistro,32,2,8,Scottsdale,AZ,3.5
Zaidi's Grill,1,4,1,Scottsdale,AZ,3.5
Minerva Indian Cuisine,1,4,1,Madison,WI,4.0
Mayuri Palace,4,3,4,Phoenix,AZ,3.5
Kohinoor Cuisine of India,3,3,3,Tempe,AZ,3.5
Kabob n Kurry,4,3,4,Gilbert,AZ,3.5
Saffron Flavors of India,5,3,5,Las Vegas,NV,4.0
Tanjore,1,4,1,Edinburgh,EDH,4.0
Mirch Masala,1,4,1,Madison,WI,3.5
Indian Maharaja Palace,2,2,2,Glendale,AZ,3.0
Guru Palace,128,4,8,Mesa,AZ,4.0
Saffron,2,1,2,Las Vegas,NV,2.0
Pasand,1,3,1,Tempe,AZ,3.0
Khyber Halal,112,4,7,Phoenix,AZ,4.0
Flavor of India,3,5,3,Madison,WI,4.0
Indus Village,1,5,1,Chandler,AZ,4.0
Hurry 4 Curry,1,3,1,Phoenix,AZ,3.0
New India Bazaar,3,4,3,Phoenix,AZ,3.5
Delhi Indian Cuisine,2,5,2,Las Vegas,NV,4.5
Bay Leaf Cafe,5,3,5,Chandler,AZ,3.5
Madras Ananda Bhavan,1,4,1,Phoenix,AZ,4.0
India Palace,270,3,30,Las Vegas,NV,4.0
Bawarchi Indian Cuisine,5,3,5,Phoenix,AZ,3.5
Star of India,96,4,6,Phoenix,AZ,4.0
Delhi Palace Cuisine of India,4,3,4,Tempe,AZ,3.5
Nandini Indian Cuisine,1,4,1,Tempe,AZ,5.0
India Oven,5,3,5,Las Vegas,NV,3.5
Mint Indian Bistro,304,4,19,Las Vegas,NV,4.0
Origin India Restaurant & Bar,3,3,3,Las Vegas,NV,3.5
10-to-10 In Delhi,1,5,1,Edinburgh,EDH,4.5
Swagat India,3,4,3,Madison,WI,4.0
India Gate,2,2,2,Chandler,AZ,3.5
Tandoori Times 2 Indian Bistro,128,4,8,Glendale,AZ,3.5
India Garden,1,4,1,Avondale,AZ,4.0
Royal Taj,256,4,16,Tempe,AZ,3.5
Indian Delhi Palace,63,3,7,Phoenix,AZ,3.5
Taj Palace,126,3,14,Henderson,NV,4.0
Swad,2,4,2,Monona,WI,4.0
Mount Everest India's Cuisine,176,4,11,Las Vegas,NV,4.5
Kebab Mahal,3,4,3,Edinburgh,EDH,4.5
Gandhi India's Cuisine,4,2,4,Las Vegas,NV,3.5
Kabob N More,1,1,1,Las Vegas,NV,3.0
India Palace,54,3,6,Phoenix,AZ,3.5
Tamba Indian Cuisine & Lounge,63,3,7,Las Vegas,NV,3.5
Samosa Factory,54,3,6,Las Vegas,NV,4.0
India's Grill,1,4,1,Mesa,AZ,4.0
Passage To India,54,3,6,Tempe,AZ,4.0
Bombay Spice Grill,72,3,8,Phoenix,AZ,3.5
Chutney's Indian Cuisine,3,2,3,Tempe,AZ,4.0
Shalimar Restaurant,4,4,4,Las Vegas,NV,3.5
Curry Corner,153,3,17,Tempe,AZ,3.5
Royal India Bistro,2,3,2,Las Vegas,NV,3.5
OM Restaurant,1,4,1,Las Vegas,NV,4.0
Flavors of India,63,3,7,Phoenix,AZ,3.5
India Gate,2,4,2,Gilbert,AZ,3.5
Mantra Masala,5,4,5,Las Vegas,NV,3.5
Indian Paradise 2,2,5,2,Phoenix,AZ,3.5
The Dhaba,126,3,14,Tempe,AZ,4.0
Copper Kettle-Salads Balti & Taandoori Grill,2,4,2,Mesa,AZ,3.5
Southern Spice,3,3,3,Tempe,AZ,3.5
Sai India Curry,1,3,1,Las Vegas,NV,3.0
Curry Leaf Indian Grill,1,2,1,Phoenix,AZ,3.0
Indian Paradise,108,3,12,Scottsdale,AZ,4.0
