id,value,rating,freq,city,state,stars
Tuk Tuk Indian Street Food,4,4,1,Edinburgh,EDH,4.0
Al Hamra,15,3,5,Scottsdale,AZ,3.5
India Masala,3,3,1,Las Vegas,NV,4.0
Taj Mahal Indian Cuisine,56,4,14,Tempe,AZ,3.5
Curry Garden,8,4,2,Gilbert,AZ,4.0
Maharani Restaurant,12,3,4,Madison,WI,3.5
Cafe Krishna,4,4,1,Chandler,AZ,3.5
Namaste Indian Cuisine,24,3,8,Las Vegas,NV,4.0
Tadka Sizzles,3,3,1,Phoenix,AZ,3.0
Mother India's Cafe,4,4,1,Edinburgh,EDH,4.0
Guru Balti Restaurant,5,5,1,Edinburgh,EDH,4.5
Chennai Chettinaad Palace,6,3,2,Phoenix,AZ,3.5
India Masala Bar & Grill,15,3,5,Las Vegas,NV,3.5
Bollywood Grill Indian Cusine,3,3,1,Las Vegas,NV,2.5
Haweli Indian Grill & Bar,16,4,4,Scottsdale,AZ,3.5
Dhaba Indian Bistro,20,5,4,Middleton,WI,4.0
Indian Curry Bowl,6,2,3,Las Vegas,NV,3.0
Kabab Palace,2,2,1,Tempe,AZ,3.5
Tandoori Times 3 Indian Bistro,36,4,9,Phoenix,AZ,4.0
Copper Kettle,5,5,1,Chandler,AZ,3.0
Tikka Mahal,5,5,1,Edinburgh,EDH,4.0
Pyaar India Restaurant,4,4,1,Las Vegas,NV,3.0
India Oven,132,4,33,Mesa,AZ,4.5
Jewel of the Crown,15,3,5,Scottsdale,AZ,4.0
Tandoori Village,4,4,1,Phoenix,AZ,3.5
Pataka Restaurant,4,4,1,Edinburgh,EDH,4.5
Britannia Spice,6,3,2,Edinburgh,EDH,3.5
Maharaja Restaurant E Pt Plaza,4,2,2,Madison,WI,4.0
Gaylord India Restaurant,5,5,1,Las Vegas,NV,3.5
Taj Indian Restaurant,6,3,2,Madison,WI,4.0
Tandoori Times Indian Bistro,24,3,8,Scottsdale,AZ,3.5
Zaidi's Grill,5,5,1,Scottsdale,AZ,3.5
Minerva Indian Cuisine,12,4,3,Madison,WI,4.0
Mayuri Palace,6,2,3,Phoenix,AZ,3.5
Kohinoor Cuisine of India,9,3,3,Tempe,AZ,3.5
Kabob n Kurry,12,4,3,Gilbert,AZ,3.5
The Prince of India,4,4,1,Edinburgh,EDH,3.5
Saffron Flavors of India,116,4,29,Las Vegas,NV,4.0
Indian Maharaja Palace,12,3,4,Glendale,AZ,3.0
Guru Palace,54,3,18,Mesa,AZ,4.0
Saffron,8,2,4,Las Vegas,NV,2.0
Pasand,3,3,1,Tempe,AZ,3.0
Khyber Halal,10,5,2,Phoenix,AZ,4.0
Flavor of India,8,4,2,Madison,WI,4.0
India Grill,28,4,7,Tempe,AZ,4.0
Haveli Restaurant,3,3,1,Fitchburg,WI,4.0
Hurry 4 Curry,8,4,2,Phoenix,AZ,3.0
New India Bazaar,6,3,2,Phoenix,AZ,3.5
Omar Khayyam,4,4,1,Edinburgh,EDH,4.0
Delhi Indian Cuisine,68,4,17,Las Vegas,NV,4.5
Bay Leaf Cafe,3,3,1,Chandler,AZ,3.5
Delhi Palace Cuisine of India,39,3,13,Tempe,AZ,3.5
Masala Bay Fine Indian Dining,4,4,1,Waterloo,ON,3.5
Madras Ananda Bhavan,15,3,5,Phoenix,AZ,4.0
India Palace,136,4,34,Las Vegas,NV,4.0
Taste of India,4,4,1,Madison,WI,4.0
Bawarchi Indian Cuisine,12,4,3,Phoenix,AZ,3.5
The Mosque Kitchen,12,4,3,Edinburgh,EDH,4.0
Star of India,56,4,14,Phoenix,AZ,4.0
Karaikudi Palace,12,4,3,Scottsdale,AZ,3.5
Mint Indian Bistro,184,4,46,Las Vegas,NV,4.0
India Oven,4,4,1,Las Vegas,NV,3.5
Kismot,15,5,3,Edinburgh,EDH,4.5
Pak Afghan Halal Restaurant & Catering,5,5,1,Phoenix,AZ,4.0
