id,value,rating,freq,city,state,stars
Taj Express,1,4,1,Edinburgh,EDH,4.5
Mount Everest India's Cuisine,192,4,12,Las Vegas,NV,4.5
Karaikudi Palace,1,4,1,Scottsdale,AZ,3.5
Al Hamra,1,4,1,Scottsdale,AZ,3.5
India Masala,2,4,2,Las Vegas,NV,4.0
Pyaar India Restaurant,2,2,2,Las Vegas,NV,3.0
Taza Indian Kitchen,2,3,2,Las Vegas,NV,3.0
India Palace,112,4,7,Las Vegas,NV,4.0
India Oven,512,4,32,Mesa,AZ,4.5
Taj Mahal Indian Cuisine,3,4,3,Tempe,AZ,3.5
Curry Garden,1,3,1,Gilbert,AZ,4.0
Gandhi India's Cuisine,5,2,5,Las Vegas,NV,3.5
Taste of India,2,4,2,Madison,WI,4.0
New India Bazaar,1,4,1,Phoenix,AZ,3.5
India Palace,4,3,4,Phoenix,AZ,3.5
Maharani Restaurant,3,4,3,Madison,WI,3.5
Royal India Bistro,1,3,1,Las Vegas,NV,3.5
Samosa Factory,3,3,3,Las Vegas,NV,4.0
Bollywood Grill Indian Cusine,2,3,2,Las Vegas,NV,2.5
Maharaja Restaurant,3,5,3,Madison,WI,4.0
Passage To India,2,5,2,Tempe,AZ,4.0
Star of India,4,3,4,Phoenix,AZ,4.0
Namaste Indian Cuisine,2,4,2,Las Vegas,NV,4.0
The Dhaba,3,3,3,Tempe,AZ,4.0
Maharaja Restaurant E Pt Plaza,3,4,3,Madison,WI,4.0
Delhi Palace Cuisine of India,54,3,6,Tempe,AZ,3.5
Kebabish Original,1,3,1,Edinburgh,MLN,3.5
Chutney's Indian Cuisine,1,3,1,Tempe,AZ,4.0
Swagat India,2,4,2,Madison,WI,4.0
Tandoori Times Indian Bistro,63,3,7,Scottsdale,AZ,3.5
Curry Corner,3,2,3,Tempe,AZ,3.5
Tamba Indian Cuisine & Lounge,54,3,6,Las Vegas,NV,3.5
Mint Indian Bistro,272,4,17,Las Vegas,NV,4.0
India Oven,1,4,1,Las Vegas,NV,3.5
Kismot,1,3,1,Edinburgh,EDH,4.5
Taste of India,3,2,3,Phoenix,AZ,2.0
Minerva Indian Cuisine,2,4,2,Madison,WI,4.0
Pak Afghan Halal Restaurant & Catering,1,5,1,Phoenix,AZ,4.0
Kohinoor Cuisine of India,1,4,1,Tempe,AZ,3.5
Origin India Restaurant & Bar,24,2,6,Las Vegas,NV,3.5
Bombay Spice Grill,1,5,1,Phoenix,AZ,3.5
India Grill,5,4,5,Tempe,AZ,4.0
Saffron Flavors of India,160,4,10,Las Vegas,NV,4.0
Indus Village,2,4,2,Chandler,AZ,4.0
Imans,1,4,1,Edinburgh,EDH,4.5
Indian Maharaja Palace,28,2,7,Glendale,AZ,3.0
Sai India Curry,2,3,2,Las Vegas,NV,3.0
India Garden,3,4,3,Avondale,AZ,4.0
Indian Delhi Palace,72,3,8,Phoenix,AZ,3.5
Saffron,1,2,1,Las Vegas,NV,2.0
Haweli Indian Grill & Bar,1,5,1,Scottsdale,AZ,3.5
Flavors of India,4,3,4,Phoenix,AZ,3.5
India Gate,2,2,2,Gilbert,AZ,3.5
Mantra Masala,3,3,3,Las Vegas,NV,3.5
Indian Paradise 2,2,3,2,Phoenix,AZ,3.5
Pasand,2,3,2,Tempe,AZ,3.0
India's Grill,1,4,1,Las Vegas,NV,3.0
Royal Taj,4,4,4,Tempe,AZ,3.5
Copper Kettle-Salads Balti & Taandoori Grill,2,4,2,Mesa,AZ,3.5
Sutra Fine Indian Cuisine,2,3,2,Goodyear,AZ,3.5
India Masala Bar & Grill,54,3,6,Las Vegas,NV,3.5
Khushi's,1,4,1,Edinburgh,EDH,3.5
Southern Spice,1,4,1,Tempe,AZ,3.5
Tandoori Times 2 Indian Bistro,5,4,5,Glendale,AZ,3.5
Haveli Restaurant,1,4,1,Fitchburg,WI,4.0
Fusion,2,5,2,Cambridge,ON,4.5
Indian Paradise,81,3,9,Scottsdale,AZ,4.0
Indian Curry Bowl,1,1,1,Las Vegas,NV,3.0
Delhi Indian Cuisine,3,4,3,Las Vegas,NV,4.5
Bay Leaf Cafe,3,1,3,Chandler,AZ,3.5
Kabab Palace,5,4,5,Tempe,AZ,3.5
Noor Indian Takeaway,1,5,1,Edinburgh,EDH,4.5
Guru Palace,4,4,4,Mesa,AZ,4.0
Taj Palace,5,3,5,Henderson,NV,4.0
Voujon,1,3,1,Edinburgh,EDH,4.0
Red Fort,1,2,1,Edinburgh,EDH,4.0
Priya Indian Cuisine,2,4,2,Tempe,AZ,3.0
